sex,Age,Married,Number_children,,total_members,gained_asset,durable_asset,save_asset,living_expenses,other_expenses,,,,,incoming_agricultural,farm_expenses,,lasting_investment,no_lasting_investmen,depressed
1,28,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,23,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,22,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,27,1,2,,4,52667108,19698904,49647648,397715,44042267,,,,,22288055,18751329,,7781123,69219765,0
0,59,0,4,,6,82606287,17352654,23399979,80877619,74503502,,,,,53384566,20731006,,20100562,43419447,0
1,35,1,6,,8,35937466,736707,23399979,30696127,11531066,,,,,22688441,18907036,,4442561,76629095,0
0,34,0,1,,3,41303144,21925041,23399979,66730708,10890451,,,,,26692283,22243569,,22562288,55608922,1
1,21,1,2,,4,12013633,20323505,48046108,80076849,58456101,,,,,9275569,36979933,,33922659,54600174,0
1,32,1,7,,9,11087568,25224208,80076851,30162281,67184479,,,,,32564587,28738691,,14018381,15117619,0
1,29,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,84,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,59,0,2,,3,1018915,47245342,23399979,262919,30108896,,,,,66730709,13968961,,15714453,20214956,0
1,38,1,4,,6,12390944,19186414,23399979,10810375,498078,,,,,72069163,56721101,,20745816,15708408,0
1,27,1,4,,6,16521259,37155658,23399979,21220366,10506083,,,,,3109651,22688441,,62405292,12144989,0
1,56,1,0,,2,93596368,21140288,5925687,34566505,72469551,,,,,43775349,77808008,,12402556,71201668,1
1,24,1,2,,5,1108353,12219727,1601537,38169963,37860336,,,,,21353827,37814063,,23991919,48624439,0
1,25,1,3,,5,37172832,75432396,80076847,40705733,40278656,,,,,6406148,44843035,,11596846,12491988,0
1,44,1,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,32,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,26,1,2,,4,82606287,20419597,23399979,25357668,99295292,,,,,42707653,26247411,,26450653,36790862,0
1,40,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,55,0,0,,1,17142671,83440079,24023056,16495831,42985252,,,,,48046109,58456101,,25742926,12091604,1
1,34,1,3,,5,28912201,1905829,23399979,49380727,30221003,,,,,30028818,31363432,,249039,26558821,0
1,43,1,4,,9,12390944,18978214,80076847,18684598,23542593,,,,,58322639,24212127,,2117823,29246958,1
1,51,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,28,1,3,,5,75696259,46604727,23399979,53384566,67264552,,,,,92088375,67842889,,13351174,20130429,0
1,53,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,26,1,3,,5,37172832,27146051,23399979,15481524,41639961,,,,,44042268,330317,,32064487,81077814,0
1,23,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,36,1,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,27,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,44,0,3,,4,53694088,44843037,24023056,30696127,39557964,,,,,80076847,26024976,,10334174,28627474,0
0,40,1,5,,9,24781887,51393323,23399979,60057635,28909344,,,,,25144131,4902483,,63993225,35331688,0
1,19,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,27,1,3,,5,82477118,21941057,80076847,77407622,15086478,,,,,93422985,40705733,,11130479,18484406,0
1,31,1,2,,4,20651573,3119794,32030739,11611143,28026898,,,,,1134422,10104141,,36786478,7572879,0
1,27,1,3,,5,28912201,68065323,23399979,28694205,52049952,,,,,28827665,10409991,,68065323,30429201,0
1,27,1,4,,6,11151849,17360661,11210759,48046112,28187052,,,,,3203074,36034581,,298578,46671452,0
0,35,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,43,0,2,,4,41303144,14093526,23399979,37369196,88084536,,,,,18417675,28694203,,15787787,22888632,1
1,22,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,41,1,6,,8,86736603,13677126,23399979,41373043,16623955,,,,,14914313,20603106,,31463531,1770199,0
1,20,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,18,1,2,,3,22375139,16816139,40038424,26158438,3867712,,,,,64061481,18684599,,19053653,41906881,0
1,38,1,5,,8,10429825,12892372,23399979,25357668,87283764,,,,,10276529,8563774,,24843657,22430082,0
0,24,0,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,26,1,1,,3,22375139,17616907,23399979,13346142,86483002,,,,,28026898,42040348,,21616112,15250636,0
1,26,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,37,1,5,,8,47847064,59609204,1601537,15881909,81838539,,,,,41639962,64862247,,11525576,18927498,1
1,23,1,4,,6,82606287,59625221,23399979,66730708,17616907,,,,,21353827,17794855,,74292,84525561,1
1,28,0,4,,5,57142133,25064053,14413834,36034582,15695063,,,,,10009606,19018252,,89573254,14324413,0
1,19,1,1,,3,22375139,20819981,23399979,66730708,23382441,,,,,30028818,31363432,,24659033,,0
1,35,1,3,,5,41303144,37556042,23399979,20019212,32030739,,,,,26692283,2224357,,42533453,22243569,0
1,53,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,33,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,19,1,2,,4,41303144,13372833,23399979,26692283,42280579,,,,,24023056,21353827,,18750629,53384566,0
1,26,1,3,,5,28912201,18417676,23399979,53384566,38757195,,,,,33365355,27804461,,23702748,94535172,0
1,26,1,5,,7,42236978,19698904,23399979,10676913,16976292,,,,,10743644,82857299,,69302954,10170872,0
1,49,0,1,,2,82606287,17616907,19218445,24690363,19762967,,,,,33365355,7051211,,19243738,29265865,0
1,20,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,48,0,5,,6,17142671,12235743,23399979,26692283,18097368,,,,,19351906,21687481,,29858875,12178354,1
1,28,1,3,,7,28912201,17696983,23399979,46711496,10217806,,,,,80076847,51182456,,18417674,24430113,0
1,21,1,1,,3,27572495,27226129,23399979,30696127,26905821,,,,,26692283,2224357,,6392738,2224357,0
1,42,1,0,,3,52253772,26745667,12812296,62193022,57735409,,,,,11184067,48713416,,82682971,15503545,0
1,46,0,0,,1,22375139,52690567,22421518,34032662,90486841,,,,,64061481,53384565,,78909393,38490273,0
1,24,1,2,,4,61954716,16175523,23399979,77407622,45355526,,,,,84080696,62281995,,22370995,14235884,0
1,30,1,2,,4,41303146,16335678,32030739,48179574,41736053,,,,,50181494,79987879,,21106607,50519592,0
1,45,1,4,,4,49563774,20163351,17671359,15614985,2234144,,,,,66730708,58945453,,29924341,17823727,0
1,25,1,4,,6,20651573,35393967,24023054,3203074,3411274,,,,,66063399,35589712,,37939584,83101974,1
0,19,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,45,1,3,,5,28912201,96092216,23399979,21353827,19218444,,,,,13346142,11121784,,10089683,66841927,0
1,40,0,1,,3,28912201,18337599,23399979,46711496,14894294,,,,,50715337,22243569,,23470972,55875845,0
0,37,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,21,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,30,1,6,,8,6712542,28347205,23399979,66730708,34593201,,,,,21353827,79187107,,42426816,37814068,1
1,25,1,1,,3,28912201,25224208,23399979,93422991,481422,,,,,30028818,31363432,,31149896,,0
1,38,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,48,1,0,,2,28912201,86162689,23399979,23355746,28026898,,,,,30028818,10676913,,87443916,24129824,1
1,30,1,4,,6,82606287,20980135,23399979,12411911,3203074,,,,,22021134,26358631,,31803223,2318892,0
1,26,1,5,,7,22925111,24791792,23399979,23355746,32911587,,,,,85415304,39148682,,48005182,22145699,0
1,37,1,8,,10,13080371,16816139,23399979,16082102,20819981,,,,,30028818,31363432,,14922137,6406148,0
0,28,1,1,,3,41303144,41800116,23399979,20286135,36354889,,,,,72069163,17149794,,423733,20352867,1
0,30,0,2,,3,41303144,44202423,23399979,10009606,11531066,,,,,56053793,46711497,,67551178,46711497,0
0,25,1,1,,3,28912201,12091605,23399979,26692283,172966,,,,,13346142,37814072,,12251759,37814072,1
1,55,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,38,1,5,,7,28912201,44042267,23399979,80076849,13933372,,,,,10943837,15792935,,46444572,69177502,0
1,43,1,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,32,0,2,,3,16521257,31229971,40038424,10143068,30669434,,,,,10276529,10095245,,50153534,74156723,0
1,23,1,3,,5,28912201,64862251,12812296,12011528,22581671,,,,,26692283,4092817,,68866096,1442273,0
1,35,1,2,,4,67399603,27786667,32030739,3203074,17937214,,,,,12812296,91821451,,10399473,42093727,1
1,22,1,3,,6,21617699,13452911,23399979,15267985,99295292,,,,,48179574,13357264,,36031531,29372635,0
1,52,1,3,,7,41823944,12812296,23399979,26692283,70467629,,,,,53384566,36034582,,6040177,14280372,0
0,43,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,25,1,2,,5,99127548,29067896,3203074,16682677,45884033,,,,,14747486,63783436,,39461111,13198221,0
1,40,0,2,,4,57824402,16287631,25624592,66730708,3763612,,,,,80076847,62193022,,23511455,93887436,0
1,20,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,26,1,2,,4,75386055,18657906,23399979,13346142,5925687,,,,,93422985,34477532,,26676971,50492902,0
1,32,0,3,,5,28912201,87283768,32030739,10863759,24807808,,,,,10096356,6646934,,89686073,48033318,1
1,22,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,27,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,22,1,1,,3,28912201,37828305,23399979,10676913,13933372,,,,,13346142,97871703,,3894938,97871703,0
1,39,0,6,,7,99127548,33071738,44843035,34032662,39718117,,,,,3203074,95157995,,51792944,34980236,0
1,24,1,2,,4,16521257,20259444,1601537,24690363,24263285,,,,,86749923,72291598,,22632262,63449774,1
1,31,0,3,,5,36350497,44843036,23399979,14013449,30108896,,,,,48046112,30028818,,16293855,53810309,0
1,23,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,23,1,2,,4,19207828,14557971,23399979,51382647,34593201,,,,,12812296,14680755,,34566568,14680755,0
0,42,0,3,,4,16521257,11739266,23399979,14547294,11611143,,,,,40038424,65396094,,14672621,52717257,1
1,48,1,7,,9,59411945,26905823,23399979,93422985,5925687,,,,,20085943,87584057,,9592699,23839546,1
0,25,1,0,,2,28912201,67264557,23399979,80076849,43241501,,,,,42707653,48935851,,70467628,48935851,0
1,26,1,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,17,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,33,1,7,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,19,1,3,,7,96143182,17136445,23399979,17383348,79756546,,,,,30028818,13346142,,27015017,59523792,0
1,45,1,6,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,57,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,52,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,28,1,4,,6,17142671,46444572,23399979,26692283,22101212,,,,,25624592,36034582,,21787128,76073008,1
1,27,1,2,,4,57824402,38677118,23399979,13346142,44010239,,,,,21353827,88796329,,47822784,10147516,1
1,37,1,4,,7,86736603,60538097,23399979,41373043,24631639,,,,,56053796,57388407,,16008699,23889594,1
1,35,1,8,,10,35111401,24026257,23399979,35367274,65983322,,,,,50715339,77630061,,59621326,87839851,0
1,36,0,7,,10,40067783,29180005,12812296,20019212,2898782,,,,,64595327,80521727,,74052399,20023661,0
0,53,0,0,,1,90183739,10201791,23399979,73403776,2057975,,,,,32698047,27248374,,21910747,66786318,0
1,43,1,6,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,39,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,26,1,5,,7,6608503,49887878,23399979,40038425,12684173,,,,,29628434,38303428,,57056921,67931867,0
1,25,1,3,,5,28912201,32030739,23399979,1601537,49199215,,,,,30028818,31363432,,33632275,15801831,0
1,19,1,2,,4,26505453,96092216,23399979,32698047,1145099,,,,,36034582,3002882,,12259767,27025938,0
1,27,1,4,,7,81923103,10570144,48046112,30295742,41239578,,,,,16682676,41306305,,25168604,26018301,0
1,28,0,3,,4,24781887,18737982,23399979,18684598,16848169,,,,,45376883,31541381,,21536478,46755981,0
1,25,1,2,,4,16521257,10679049,23399979,10276529,80076847,,,,,42707653,3558971,,11452845,23578184,0
1,48,0,4,,8,82606287,52850719,23399979,60057635,20980135,,,,,74738393,10232041,,65915962,31585867,1
1,27,1,1,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,24,1,1,,3,82606287,98494522,23399979,1134422,10970528,,,,,37369196,20019212,,11155976,20019212,0
1,63,1,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,45,0,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,18,1,2,,3,26505453,7527224,35233814,45376882,52930798,,,,,30028818,31363432,,10177769,36194736,0
1,62,1,3,,5,17142671,45163342,23399979,73403783,23542593,,,,,3203074,28827665,,70954309,14307064,0
1,60,0,1,,2,33042515,37475967,23399979,62726867,27706591,,,,,16015369,15125629,,87334625,15779589,0
1,26,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
0,30,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,32,1,6,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,69,0,1,,2,28912201,53971798,1601537,12144989,29292112,,,,,16682677,40594512,,59096718,11750165,0
1,29,1,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,75,0,0,,1,28912201,28827665,23399979,26692283,1601537,,,,,30028818,31363432,,28827665,,0
1,30,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
0,55,0,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,29,1,2,,4,388964,44122345,22421518,13346142,85522079,,,,,33365355,43819827,,55138824,42131546,1
1,23,0,3,,4,20651573,26265207,23399979,33365355,12892373,,,,,66730708,55608924,,299319,55608924,0
1,74,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,24,1,2,,4,28912201,10249837,23399979,13346142,7703393,,,,,30028818,31363432,,12652142,,0
1,21,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,19,1,1,,3,38415656,27386282,23399979,80076847,3411274,,,,,33365355,22799659,,7421001,2630302,0
1,46,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,62,1,7,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,34,1,6,,8,45644662,2857142,80076851,36034584,47245342,,,,,37369196,31140998,,79597247,85913567,1
1,20,1,2,,4,45433456,1712043,20819981,37369196,55813564,,,,,53384566,51160207,,22368452,40883682,0
1,34,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,27,1,5,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,27,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,20,1,3,,5,75386055,14418638,23399979,13346142,1473414,,,,,40038424,33365354,,15649756,49380726,0
1,25,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,69,1,3,,6,65334448,29212036,16015369,17883829,31870586,,,,,56053796,71401858,,10437993,10857086,0
1,48,0,5,,8,82606287,10810374,23399979,19351906,93689919,,,,,20019212,16682677,,11956744,43808712,1
1,37,1,7,,9,22684436,44602805,18257523,20019212,21140289,,,,,65396094,74515963,,68248163,30613825,0
1,22,1,3,,5,5714122,19570782,23399979,30028818,81678391,,,,,98761451,49603158,,30441852,26180682,0
1,19,1,1,,3,41303144,15775139,23399979,80076847,39557964,,,,,49380727,7618423,,22514241,92199602,0
1,40,1,4,,6,53906201,76073006,23399979,53384566,19538752,,,,,45376883,37814072,,61833807,19863508,0
1,26,0,4,,6,10602181,18337599,23399979,25357668,13773218,,,,,62726865,26581063,,29580396,54741421,1
1,27,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,35,1,1,,3,32805267,58776409,80076847,23382441,3074951,,,,,6406148,24023056,,40460614,23243642,1
1,31,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,24,1,4,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,29,1,3,,6,40480811,3002081,23399979,10676913,21300442,,,,,13346142,23133314,,72263312,29058998,0
1,63,1,2,,5,55730682,85361923,23399979,13346142,67264552,,,,,51449375,21637433,,65067645,77691231,0
1,85,0,0,,1,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,43,1,4,,7,71461902,20819981,23399979,35233815,10233822,,,,,3203074,46711496,,74504828,14093525,0
0,34,1,6,,10,18794797,23222287,23399979,80076849,45163342,,,,,54051876,49881206,,44099081,56554275,0
1,52,1,6,,10,1407879,25944901,56053795,77007241,51008953,,,,,18671253,18643448,,51554761,13427441,0
1,48,1,0,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
1,20,1,6,,8,28912201,13132603,23399979,1601537,48846879,,,,,30028818,53384566,,13773218,28827667,0
1,38,0,1,,2,82606287,73190239,23399979,16549217,96092224,,,,,64595327,12456399,,92661629,5342905,0
1,32,1,2,,4,10016794,26985898,23399979,28026898,26905821,,,,,77607818,47951574,,42447919,20850567,0
1,25,1,3,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,1
1,35,1,2,,4,28912201,17696983,23399979,37369194,57975639,,,,,52717257,21909916,,18417674,49936814,0
1,44,1,6,,9,35524435,2746636,23399979,10943837,24343363,,,,,56053796,11437644,,63711487,19967163,0
1,40,0,5,,6,12390944,68866089,1601537,6005764,10570145,,,,,23489211,19574341,,86061646,33988175,0
0,53,0,2,,3,28912201,11931451,23399979,26692283,33632276,,,,,13346142,1290127,,2194951,1864011,0
1,47,0,8,,12,44750278,23975009,23399979,25357668,19378597,,,,,28026898,10343261,,34327679,58389373,0
1,25,1,2,,5,28912201,22861940,23399979,26692283,28203066,,,,,30028818,31363432,,28411718,28292707,0
